name,occupation,marriage_no,partner_name,duration_years,currently_married,partner_occupation
Elise Stefanik,Politician,1,Matthew Manda,4,True,Unknown
John Katko,Politician,1,Robin Gibson,34,True,Unknown
Joseph Morelle,Politician,1,Mary Beth Bauer,37,True,Unknown
Eleanor Holmes Norton,Politician,1,Edward Norton,28,False,Unknown
Virginia Foxx,Politician,1,Thomas Foxx,58,True,Unknown
Patrick McHenry,Politician,1,Giulia Cangiano,11,True,Unknown
Madison Cawthorn,Politician,1,Cristina Bayardelle,1,True,Politician
Kelly Armstrong,Politician,1,Kjersti Høiby,17,True,Unknown
Steve Chabot,Politician,1,Donna Daly,48,True,Unknown
Brad Wenstrup,Politician,1,Monica Klein,9,True,Unknown
Joyce Beatty,Politician,1,John Hannah,20,False,Unknown
Joyce Beatty,Politician,2,Otto Beatty Jr.,29,False,Unknown
Bob Latta,Politician,1,Marcia Sloan,35,True,Unknown
Bob Gibbs,Politician,1,Jody Cox,44,True,Unknown
Warren Davidson,Politician,1,Lisa Davidson,26,True,Unknown
Troy Balderson,Politician,1,Angela Mattingly,29,False,Unknown
Kevin Hern,Politician,1,Tammy Hern,27,True,Unknown
Markwayne Mullin,Politician,1,Christie Rowan,24,True,Unknown
Tom Cole,Politician,1,Ellen Decker,50,True,Unknown
Stephanie Bice,Politician,1,Geoffrey Bice,25,True,Unknown
Cliff Bentz,Politician,1,Lindsay Norman,34,True,Unknown
Earl Blumenauer,Politician,1,Margaret Kirkpatrick,17,True,Unknown
Kurt Schrader,Politician,1,Martha Northam,36,False,Unknown
Kurt Schrader,Politician,2,Susan Mora,5,True,Unknown
Chrissy Houlahan,Politician,1,Bart Houlahan,30,True,Unknown
Susan Wild,Politician,1,Russell Wild,21,False,Unknown
Susan Wild,Politician,2,Kerry Acker,16,False,Unknown
Matt Cartwright,Politician,1,Marion Munley,36,True,Unknown
Lloyd Smucker,Politician,1,Cindy Smucker,29,True,Unknown
Conor Lamb,Politician,1,Hayley Haldeman,2,True,Unknown
Nancy Mace,Politician,1,Chris Niemiec,3,False,Unknown
Nancy Mace,Politician,2,Curtis Jackson,15,False,Unknown
William Timmons,Politician,1,Sarah Anderson,2,True,Unknown
